gene	lowMean	highMean	logFC	pValue	fdr
MEG3	4.12437630111524	1.55568434622468	-1.40662660559934	3.44194677654102e-29	8.09543988061553e-28
GPIHBP1	7.67866796778191	3.79930497237569	-1.01512054316664	1.38717480032461e-18	8.45306554196383e-18
ITIH5	7.55875941759603	3.46267965009208	-1.12626054862259	2.54711483475023e-34	1.42797103473424e-32
AC102945.2	5.10372146840149	2.51473462246777	-1.02114343546034	1.02588980937274e-30	3.16637000910911e-29
CAVIN2	15.0489899938042	5.86759880294659	-1.35882452917877	1.16455611062023e-27	2.21498831318079e-26
KRTDAP	23.5659975836431	5.47437624309392	-2.10594025725673	0.000613206818974213	0.000873186492141911
RN7SKP16	2.83278091697646	1.30756611418048	-1.11533513517023	2.13664425123418e-33	1.01767353904884e-31
NTS	146.235526579926	4.56937320441989	-5.00015375342533	1.21176666961334e-05	2.03057607641302e-05
AC053527.1	2.13064495043371	0.803735082872928	-1.40649824146441	7.42363245737308e-11	2.06703617307641e-10
AC106900.1	0.773084324659232	1.55720672191529	1.01026278670468	3.12205272626092e-10	8.16019253536158e-10
RNU6-759P	1.87332122057001	0.588989871086556	-1.66928357216922	0.00352217162632593	0.00464273917965981
PLIN1	43.1375327137546	16.3809685082873	-1.39692300534875	2.47985655092511e-17	1.32385473506926e-16
TNFSF11	4.12630913878563	1.9001167587477	-1.11876383819597	0.000439624465871986	0.00063419714350334
OGN	34.4190500929368	14.4605510128913	-1.25108475541372	6.29576820527758e-25	8.32570305816252e-24
SCARNA5	71.1753340768278	1.19699567219153	-5.89388751833026	9.2460697984046e-06	1.56719416616693e-05
GAD1	1.82360833333333	0.882966850828729	-1.04636472601617	7.18383194973279e-09	1.65022786272267e-08
IGHE	2.59962357496902	6.68564134438306	1.36276322631743	3.09771645039552e-06	5.52093533305326e-06
AC072022.2	2.75338262081784	1.16543158379374	-1.24034079230683	3.67800942152816e-46	2.99477538565286e-43
TACR1	3.32464166666667	1.28416399631676	-1.37236939780705	5.73284822658572e-34	3.01618374850428e-32
TRAJ1	1.57353779429988	0.739859392265193	-1.08868880801225	3.54853557276069e-09	8.40975880230562e-09
ACKR1	58.8021832094176	24.8257174953959	-1.24403430637378	3.79419959269668e-23	3.97044178919954e-22
SNORA7B	5.2662719330855	1.19300064456722	-2.14218719686002	2.11911196171599e-09	5.12585874004551e-09
RN7SL192P	1.84570390334572	0.873614548802947	-1.07910233990628	7.11237475012018e-18	4.00442857597316e-17
MAP1LC3C	2.20771400247831	0.929259300184162	-1.24840016379915	4.20840701165699e-27	7.38804430105984e-26
TCL1A	3.53108599752169	1.53867228360958	-1.19842596766557	4.17355301267263e-06	7.33363302473428e-06
IGF1	1.51542438042131	0.691075138121547	-1.13280738021661	2.43270892729772e-31	8.33605008975225e-30
BOC	12.3412647149938	5.43451279926335	-1.18326763793115	2.54556609150096e-43	8.53463423501469e-41
LINC00472	5.44918835192069	2.6439273480663	-1.04335882485129	5.86807678230844e-40	8.87949069917628e-38
SELE	11.2899723667906	5.1431302946593	-1.13432334688265	1.89188495317602e-12	6.15943275216237e-12
